GroupID,ServiceOffering,ClientMemberID,EffectiveStart,EffectiveEnd,FirstName,Column7,LastName,DateOfBirth,Gender,AddressLine1,Column12,City,State,ZipCode,Column16,Column17,Column18,Column19,Column20
691360,MEDICAL,TEST000001,04/08/2025,,Firstname1,,Lastname1,10/08/1995,F,1 Main Street,,TestCity,TX,77801,,,,,
691360,MEDICAL,TEST000002,04/08/2025,,Firstname2,,Lastname2,10/08/1995,M,2 Main Street,,TestCity,TX,77802,,,,,
691360,MEDICAL,TEST000003,04/08/2025,,Firstname3,,Lastname3,10/08/1995,F,3 Main Street,,TestCity,TX,77803,,,,,
691360,MEDICAL,TEST000100,07/08/2025,,Firstname100,,Lastname100,10/08/1995,M,100 Main Street,,TestCity,TX,77800,,,,,
691360,MEDICAL,TEST000100,04/08/2025,09/08/2025,Firstname100,,Lastname100,10/08/1995,M,100 Main Street,,TestCity,TX,77800,,,,,
691360,MEDICAL,TEST000200,10/08/2024,,Firstname200,,Lastname200,10/08/1995,M,200 Main Street,,TestCity,TX,77800,,,,,
691360,MEDICAL,TEST000200,07/08/2025,,Firstname200,,Lastname200,10/08/1995,M,200 Main Street,,TestCity,TX,77800,,,,,
691360,MEDICAL,TEST000300,10/08/2023,,Firstname300,,Lastname300,10/08/1995,M,300 Main Street,,TestCity,TX,77800,,,,,
691360,MEDICAL,TEST000300,10/08/2024,,Firstname300,,Lastname300,10/08/1995,M,300 Main Street,,TestCity,TX,77800,,,,,
691360,MEDICAL,TEST000300,07/08/2025,,Firstname300,,Lastname300,10/08/1995,M,300 Main Street,,TestCity,TX,77800,,,,,
